Number,Divergence
1,-1.720496584312059e-05
2,-5.9384315136412624e-06
3,-1.3114299690641928e-05
4,-1.0201742043136619e-05
5,-1.4766420463274699e-05
6,2.7920164029637817e-06
7,-1.371930011373479e-05
8,-8.871442332747392e-06
9,-3.133902964691515e-06
10,-6.1537371038866695e-06
11,-7.681480383325834e-06
12,-8.488467756251339e-06
13,-9.437748303753324e-06
14,-6.358878181345062e-06
15,-6.789071903767763e-06
16,2.5698770969029283e-06
17,-4.109744622837752e-06
18,5.278480330161983e-06
19,6.930146810191218e-06
20,2.450824240440852e-06
21,1.609772334631998e-05
22,-1.4853225138722337e-06
23,-6.920957730471855e-06
24,9.089049854082987e-06
25,-7.0402502387878485e-06
26,-7.135712621675339e-06
27,6.726099854859058e-06
28,-1.453915592719568e-05
29,4.092946710443357e-06
30,-5.32748481418821e-06
31,4.734944013762288e-06
32,-4.450472715689102e-06
33,4.463449386093998e-06
34,-1.0252138054056559e-05
35,-6.114110874477774e-06
36,-1.097022231988376e-05
37,-7.05927277522278e-06
38,3.4300021525268676e-06
39,2.86413222028159e-08
40,1.3028141438553575e-05
41,7.029622793197632e-06
42,-5.678783509210916e-06
43,9.715913620311767e-06
44,1.6779515135567635e-05
45,-8.274121228168951e-07
46,-2.542762331358972e-06
47,1.6029704056563787e-05
48,-1.5109979358385317e-05
49,9.485620466875844e-06
50,-8.56136921356665e-06
51,1.448274269932881e-05
52,3.5325925296092464e-07
53,-2.122701289408724e-06
54,-1.4886318240314722e-06
55,-9.351357221021317e-06
56,-6.996870069997385e-06
57,7.625366379215848e-06
58,-1.2445369975466747e-05
59,-7.895315320638474e-06
60,-6.321597538772039e-06
61,7.349530278588645e-06
62,-6.348605438688537e-06
63,-1.5452294974238612e-05
64,1.548776708659716e-05
65,1.2716418495983817e-05
66,-1.4295225810201373e-05
67,-7.675937013118528e-06
68,1.3250781876195106e-06
69,5.1593447096820455e-06
70,-1.1891850590473041e-05
71,1.5689363863202743e-05
72,-2.7584801500779577e-06
73,-1.493221407145029e-05
74,6.5703025029506534e-06
75,9.51197580434382e-06
76,-6.034929810994072e-06
77,-1.5915464246063493e-05
78,-8.809181963442825e-06
79,-1.2895413419755641e-05
80,1.4474069757852703e-05
81,6.082920208427822e-06
82,-3.7912143397988984e-06
83,-4.545034244074486e-06
84,-9.935648449754808e-06
85,-5.573334874497959e-06
86,-1.626764606044162e-05
87,1.731046177155804e-05
88,1.4620775800722186e-05
89,1.7157291949843056e-05
90,-1.3516244507627562e-05
91,1.104673992813332e-05
92,1.5343728591687977e-05
93,7.166588602558477e-06
94,5.416536168922903e-06
